region,atcl_no,atcl_url,atcl_price,atcl_cost,atcl_description,atcl_location
마포구,2513309879,https://fin.land.naver.com/articles/2513309879,"1억 7,700",0원,"-올수리 샷시포함 했습니다 
-뽀송뽀송  습기없읍니다 
-남향집  밟고 괘적해요 
-전세 1억7천7백가능 
-관리비 없습니다 
-1층 같은 지층 입니다 
사진공실일때사진입니다 참고용
-일반대출  전세권설정가능  합니다",https://m.land.naver.com/near/article/2513309879
마포구,2514390668,https://fin.land.naver.com/articles/2514390668,"1억 7,700",0원,정남향일조량풍부/한강공원인접/특올수리/풀옵션/주차가(사설주차장지원)/관리비무,https://m.land.naver.com/near/article/2514390668
마포구,2512546634,https://fin.land.naver.com/articles/2512546634,"1억 7,700",,"▶ [매물번호] 말씀 해 주시면 빠른 상담 가능 합니다.

직접 확인하고 촬영한 100％ 실매물입니다.

담당 소속공인중개사 유혜진 010-6552-7212

▶ 매물 특징

- 샤시포함 올수리 ＋ 풀옵션

- 방2, 화장실1 

- 1층같은 반지층입니다

- 근저당 설정 없습니다.

- 주차 : 불가능

▶ 성보부동산은 직접 현장 방문하여 촬영한 100％ 실 매물입니다.

▶ 광고 물건 외 많은 다량 보유하고 있습니다.

▶ 원하시는 업종, 금액 등 조건 알려주시면 담당자가 원하시는 매물 추천 해 드립니다.

▶ 공인중개사법 18조 제2,3항에 의거하여 해당 매물은 최초 게시일 당시 거래 가능한 실 매물임을 확인하였으나 광고 내용을 보는 시점에 거래가 완료되거나 상세 내용이 변동 될 수 있습니다.",https://m.land.naver.com/near/article/2512546634
마포구,2514184939,https://fin.land.naver.com/articles/2514184939,"1억 2,000",0원,,https://m.land.naver.com/near/article/2514184939
마포구,2514293437,https://fin.land.naver.com/articles/2514293437,"7,600",6만원,"-빠른연락주세요

-귀한버팀목 중기청 LH 대출가능한매물

-상수역3번출구",https://m.land.naver.com/near/article/2514293437
마포구,2511927372,https://fin.land.naver.com/articles/2511927372,"1억 7,700",,"🌈고객의 행복을 중개합니다.

⬇️⬇️ 부동산 오름 ⬇️⬇️
☎️ 02-6953-5989 / 📞 010-5221-5987
☎️ 02-6953-5989 / 📞 010-5221-5987
✔ ⓑ https://blog.naver.com/prooreum

🌈고객의 행복을 중개합니다.

✔️ 위에 매물번호 문의 주시면 빠른 상담 가능합니다.
✔️ 집보기 미리 연락 주세요.

🏠 매물 안내 🏠
✅ 2호선,6호선(합정역) 도보 10분 이내 이용
✅ 아침을 한강공원에서 달리기로 시작할 수 있음.
✅ 관리비 없고, 전기,가스,수도 사용한 만큼만 부과(별도계량기)
✅ 지층이지만 남향으로 밝고, 해 잘들오옴
✅ 전입은 기본, 일반전세대출 가능 / 원하시면 전세권 설정 해드림
✅ 융자 없는 깨끗한집
✅ 옵션 : 에어컨, 드럼세탁기, 냉장고, 2구쿡탑렌지, 도어락
✅ 주차가능 (근처 주차장 비용 지원)

🌈고객의 행복을 중개합니다.

☎️ 02-6953-5989 📞010-5221-5987 📞010-9060-2608
========================================

❤️신뢰와 행복 &amp; 부와 감동을 주는 부동산 파트너가 되겠습니다.❤️",https://m.land.naver.com/near/article/2511927372
마포구,2513915536,https://fin.land.naver.com/articles/2513915536,"7,600",6만원,".허그.안심대출 가능하다.
.LH 가능하다.
.상수역 도보 3분거리에 있다.
.풀옵션 원룸이다.
.빠른 입주 가능하다.
.한강변이라 한강이보인다.
.주차는 주변주차로 해결해야한다.",https://m.land.naver.com/near/article/2513915536
마포구,2514161842,https://fin.land.naver.com/articles/2514161842,"2억 8,000",2만원,"상세설명
✔️2, 6호선 합정역 도보8분(네이버 지도 기준)
✔️차량 1대 주차 가능(지정 주차 아님)
✔️1.5층 높이에 위치한 1층 호실
✔️관리비 월 2만원
✔️반려동물 가능
✔️주차 가능
✔️입주일 협의
✔️옵션 냉장고, 에어콘(현 세입자분이 판매)

이외에도 다양한 전월세 매매 매물들을 보유하고 있으니 연락주세요.
English Consulting Available.
KYS",https://m.land.naver.com/near/article/2514161842
마포구,2511745134,https://fin.land.naver.com/articles/2511745134,"1억 1,000",2만원,,https://m.land.naver.com/near/article/2511745134
마포구,2511619570,https://fin.land.naver.com/articles/2511619570,"1억 7,700",,"[관리번호:#1466]
■합정역도보가능 한강공원근처 2룸 풀옵션 전세대출가능
- 입주가능일 : 10월 16일(협의 가능)

- 방 2개, 거실 및 주방, 화장실 1개
- 전용면적 : 10.67평
- 해당층 : 지하1층(지상 1층같은 반지하, 남향, 채광 잘 들어옴)
- 풀옵션 : 세탁기, 냉장고, 에어컨, 전기쿡탑, 신발장
- 관리비 : 없음
- 주차 : 사설주차 지원

- 일반전세대출 가능
- 화장실, 샤시 수리하여 깔끔함

- 지하 1층/지상 2층 으로 이루어진 다세대주택(6세대)
- 사용승인일 : 1986년 7월

■주변 교통
- 합정역
- 상수역",https://m.land.naver.com/near/article/2511619570
