lgeo,count,z,lat,lon,atcl_no,atcl_price,atcl_cost,atcl_description
212032303,6,13,37.46484376,126.98608399,2503855425,"2억 1,500",5만원,"◈◈ 매물 상세정보 ◈◈

【 교   통 】 4호선 남태령역
【 층   수 】 지층
【 승강기 】 없음
【 주   차 】 1대 무료
【 관리비 】  5만원
【 입   주 】 협의입주
【 대   출 】 가능
【 보   험 】 가능

▶▶ 부동산 오시는길 ◀◀

【 내방역 8번출구 도보 1분 매경부동산중개법인】
【 서울시 서초구 방배동 876-24 1층 주차가능 】

◆ ◆담당자 직통 010-8998-6424 ◆ ◆
◆ ◆담당자 직통 010-8998-6424 ◆ ◆

◇ 24시간 언제나 친절한 상담 해드립니다.
◇ 원하시는 물건 찾을 때까지 1:1 전담 서비스
◇ 방배동.사당동,반포동,서초동 내 부동산전문
◇ 계약서/등기사항 꼼꼼히 설명 드립니다
◇ 본 물건 외 다양한 매물 준비 되어 있습니다
==================================
※ 엄선된 매물,확실한 권리분석으로 신뢰감있는
   매경부동산의 모습을 보여드리겠습니다~

◆ ◆담당자 직통 010-8998-6424 ◆ ◆
◆ ◆담당자 직통 010-8998-6424 ◆ ◆"
212032303,6,13,37.46484376,126.98608399,2502711787,"2억 1,500",5만원,"▣ 4호선 남태령역 1번 출구 5분(400미터)
▣ 2016년 2월 신축급
▣ 2룸 + 거실 맞벽구조 + 1욕실 +베란다 앞뒤
▣ 실면적 14평 규모
▣ 전세자금 대출 및 보증보험 가능
▣  임대사업자집으로 저렴
▣ 이사는 3월중순 또는 협의가능합니다.
▣ 남태령역 이용시 광화문 과천 이용 편리
▣ 2층 중 반지하이지만 양면에 베란다있어 햇빛이 잘들고
 통풍이 잘됩니다
▣ 주차 가능
▣ 관리비 5만원(정액관리비, 직전월 기준)
▣ 관리비 세부내역은 중개의뢰인이 미제시로 비목별 금액 미표시
▣ 전기, 수도, 가스사용료는 세대별 사용량에 따라 부과


=============================================
■ 대신공인중개사사무소는 믿음있게 중개합니다.
■ 대신공인중개사사무소는 신뢰있게 중개합니다.
■ 언제나 전화주세요.
■ 조건에 맞는 매물을 최선을 다해 찾아드립니다.
■ 대신공인중개사사무소 :  02 534 8337  /  010 5078 1349
============================================="
212032303,6,13,37.46484376,126.98608399,2501336742,"2억 1,500",5만원,"━━━━━━━━━━━━━━━━━━━━━━━


        ▣  매물 설명  ▣

▶남태령역 도보 6분
▶조용하고 한적한 숲세권 전원마을
▶반지층이지만 베란다가 있어환기 잘되고 밝아요
▶관리 잘 되어 깔끔, 주차가능
▶임대사업자 매물로 주변 시세대비 저렴합니다


▣▣담당공인중개사 010-4339-5050


━━━━━━━━━━━━━━━━━━━━━━━"
212032303,6,13,37.46484376,126.98608399,2502037544,"2억 1,500",5만원,"◆도심속의 숲세권으로 
  ◆조용한 남태령 전원속의 빌라입니다 
 ◆ 대출 주차 가능하며 
 ◆  신축급으로 지층이지만 밝고 깨끗합니다
 

-수년간의 노하우로 계약부터 사후관리까지 약속드립니다

-문의시 원하시는 조건 말씀해주시면 광고 등록하지못한 유사한 조건의 매물도 친절히 상담해드립니다

-발로 뛰는 고객 맞춤형 서비스, 꼼꼼하고 정확한 정보로 책임중개 합니다

-&quot;씨유 부동산&quot;에서만 느낄수 있는 전문적인분석 신뢰받는 중개 지역 공인중개사무소의 품격있는 가치서비스를 받아가시기 바랍니다


▶씨유 부동산

◎계약이 끝이 아닌 인연의 시작으로

◎고객과 더불어 성장하는 든든한 지역 동반자


씨유부동산
대표: 윤석현
소재지: 서초구 방배2동 456-15 1층
중개업등록번호: 11650 2024 00114
번호:02-586-8949"
212032303,6,13,37.46484376,126.98608399,2505395436,"2억 4,000",3만원,"남태령부동산은 동네(전원마을 내에 있는) 중개업소입니다.

방2개, 화장실1개,
실제 1층 높이임.
남태령역 1번출구에서 도보 2분정도,
버스는 중앙차로이므로 막힘이 없음.

뒷산은 쾌적한 산책로와 운동공간을 제공합니다.
&lt;중개대상물의 표시 · 광고 명시사항 관련정보&gt;
개설등록번호 :9251-8897
입주가능일 :20250328
방향기준 :안방
방수 : 2개 욕실수 : 1개
건축물용도 :단독주택
매물상세지번 :2908-6
사용승인일 :20181113"
212032303,6,13,37.46484376,126.98608399,2504043602,"2억 1,500",5만원,"남태령부동산은 동네(전원마을 내에 있는) 중개업소입니다.

방2, 화장실1개,
남태령역 1번출구에서 도보 5분정도,
버스는 중앙차로이므로 막힘이 없음.

뒷산은 쾌적한 산책로와 운동공간을 제공합니다.
&lt;중개대상물의 표시 · 광고 명시사항 관련정보&gt;
개설등록번호 :9251-8897
입주가능일 :20250212
매물상세지번 :2732-11
방향기준 :거실
방수 : 2개 욕실수 : 1개
건축물용도 :공동주택
사용승인일 :20160205"
212032323,69,13,37.49074728,126.98442384,2505556323,"2억 8,200","7만 5,000원","** 방배동 럭셔리 오피스텔 ** 
보증보험100%가능 반포스테이2차 럭셔리 오피스텔 원룸원거실 전세

28200 / 6
반포스테이2차 원룸원거실 반전세
경비실
서래마을
카페거리
한강시민공원 

9호선/4호선 구반포역 동작역 도보 5분-10분거리 
도보로 한강시민공원인접  - 반포 잠원지구-

방배동 교차로 대로와 카페 거리 바로 초입
길건너편 서래마을과 한강이 있어 주변 산책로 

일반 오피스텔과 달리 차별화된 고급 명품 가전 가구 
천장형 에어컨 거실/방 
독일 가전 밀레 건조기 세탁기 

여러 방송에 나옴
거실 맞벽구조 

전입가능
HF대출가능
1월 협의입주

[ 담당 공인중개사 010-4885-5240 ]
"
212032323,69,13,37.49074728,126.98442384,2505469475,1억 500,0원," ✔️✔️ 매 물  설 명  ✔️✔️

➡️ 1층, 방2 / 화1 / 부엌
➡️이수역, 내방역 도보이용 가능
➡️ 관리비 별도 없으며, 주차는 불가
➡️ 생활편의 시설 주변에 풍부
➡️ 입주는  협의합니다.

☎️허브공인중개사사무소 02)534-8549
============================================

🔺안녕하세요!
🔺고객의 마음으로 부동산을 바라보며 
🔺다양하고 전문적인 서비스로 
🔺고객의 희망과 행복을, 
🔺신의와 성실로 책임중개를 약속합니다. 
 "
212032323,69,13,37.49074728,126.98442384,2505267568,1억,7만원,"✅물건 정보↓↓↓↓↓ / 매물번호↑↑↑↑↑

🔹금액 : 보증금 1억원
🔹관리비 : 현재 7만원
🔹입주시기 : 현 임차인과 협의하여 빠른 입주 가능
🔹면적 : 약 6평
🔹주차 : 불가능
🔹해당층 : 지층 / 총 3층
🔹엘리베이터 : 무

🔹방배동 이면도로에 위치한 풀옵션 원룸입니다.
🔹사진은 현 임차인 입주 전 사진입니다.

✅보증금/월차임 등 조건협의 최대한 노력하겠습니다.

〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓

✅방배동에서 15년째 영업 중인 미소부동산입니다.
✅010-9925-3607 [소속공인중개사 김민성 실장]
✅언제든지 편하게 연락주세요. 고맙습니다 ^^"
212032323,69,13,37.49074728,126.98442384,2505136745,"2억 5,000",6만원,"■ 방배동 20년 강남부동산입니다 ■

내방역 8분. 
넓은 투룸. 
채광굿. 
주차가. 
보증금조절가. 
관리비 6만.

☎ 개업공인중개사 조남복 02-587-1700
☎ 소속공인중개사 김수진 010-2616-2827"
212032323,69,13,37.49074728,126.98442384,2505124488,"2억 9,000","3만 5,000원","■ 방배동 20년 강남부동산입니다 ■

내방역7분. 
실16평 이상 넓은 투룸. 
큰 베란다. 
정남향으로 밝고 뷰가 좋습니다. 
대출가. 
주차가. 
관리비 3만5천.

☎ 개업공인중개사 조남복 02-587-1700
☎ 소속공인중개사 김수진 010-2616-2827"
212032323,69,13,37.49074728,126.98442384,2504539764,"1억 2,000",3만원,"✅물건 정보↓↓↓↓↓  /  매물번호↑↑↑↑↑

🔹금액 : 보증금 1억 2,000만원
🔹관리비 : 현재 3만원
🔹입주시기 : 즉시 입주 가능
🔹면적 : 약 10평
🔹주차 : 불가능
🔹해당층 : 4층 / 총 5층
🔹엘리베이터 : 무

🔹건축물대장상 근린생활시설로 대출/보증보험 불가합니다.
🔹전세권설정 가능합니다.
🔹에어컨, 가스렌지 옵션

✅보증금/월차임 등 조건협의 최대한 노력하겠습니다.

〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓

✅방배동에서 15년째 영업 중인 미소부동산입니다. 
✅010-9925-3607 [소속공인중개사 김민성 실장]
✅언제든지 편하게 연락주세요. 고맙습니다 ^^"
212032323,69,13,37.49074728,126.98442384,2504635959,"2억 9,000",7만원," ★매 물 정 보★

- 위치 :  내방역6분 거리

- 금액 : 2억9찬만원 관리비 7만원

- 전용 :  약44㎡

- 구조 : 룸2개

- 층수 :  3층 

- 주차 :  주차 1대

- 입주 : 4월초 입주가능

☎ 대표 010-3895-0895 / ☎ 소속공인중개사 010-5113-7301 "
212032323,69,13,37.49074728,126.98442384,2504557511,3억,5만원,"━━━━━━━━━━━━━━━━━━━━━━━
       

      ▣      매물 설명      ▣

▶ 대출가능, 융자없어 안전한 집
▶ 서문여중고, 상문 서울고 등 명문 학군지
▶ 현 임차인 이사 후 도배 싱크대 등 수리예정
▶ 이수역 도보 7분
▶ 남성사계시장, 영화관, 대형서점 등 편의시설 다수
▶ 시세 대비 저렴한 역세권 쓰리룸


▣▣ 담당공인중개사 : 010-4339-5050



━━━━━━━━━━━━━━━━━━━━━━━"
212032323,69,13,37.49074728,126.98442384,2504403029,"2억 5,000",6만원,"📢필독 📢 매물정보 박스 맨아래쪽에 매물번호 알려주시면 빠르고 정확한 상담가능합니다😉😉

📞 전화상담 :070-4105-3221 or 010-3260-2394 📞

🌟 100% 실사진!! 100%실가격!! 100%실매물!! 직접보고 직접 찍은 사진입니다!!🌟

🍀 안전한 매물 중개, 허위 매물 취급 NO, 발로 뛰는 맞춤형 중개🍀


🏠 매물소개 🏠

🔖 금액: 보증금 2억5천만원

🔖 관리비: 월6만원(공동전기,청소비등)공과금 별도

🔖 옵션: 에어컨,가스렌지,싱크대,신발장등

🔖 이사가능날짜: 25. 3/22이후 협의


🏠 매물특징 🏠

🔖 구조 좋고 전용 넓은 투룸 전세 귀한매물

🔖 4년 거주시 애완동물가능

🔖 전세대출 가능, 보증금 조정 가능

🔖 큰창으로 채광짱, 햇살 가득한 집, 주차 가능, 직접 보시는거 강추

🔖 주변 인프라 다양해서 살기 편해요

🔖 🚊 2호선 내방역 도보이용, 강남 출퇴근 용이



📢문의할시📢 아래사항 기재해서 문의주시면 더 빠른 상담이 가능합니다

📌 입주 예정일 :
📌 찾으시는 지역 (선호 지하철 호선 ) :
📌 보증금 / 월세 (ex: 500/50), 전세 (ex: 9000) :
📌 대출시 대출상품 :
📌 주차or애완 유무 :

💡 믿고 연락주시면 고객님 니즈에 맞는 좋은 매물 구해드리겠습니다

💡 계약시 필요서류 (등기부등본, 계약서, 확인설명서, 보험증서) 완벽하게 첨부해드립니다

💡 선순위보증금을 비롯한 임대차 내역을 정확하게 권리분석하여 안전하게 중개해드리겠습니다



👔이수자이멘토부동산

소속공인중개사 김 태 선

📞 전화상담 :070-4105-3221 or 010-3260-2394 📞"
212032323,69,13,37.49074728,126.98442384,2504348899,"2억 5,000",6만원," ◆ ◆매물 상세설명 ◆◆

▣ 교   통 :  7호선 내방역
▣ 층   수 :  4층
▣ 승강기 :  무
▣ 주   차 :  가능
▣ 관리비 :  6만원
▣ 입   주 : 즉시 또는 협의


- 내방역 역세권으로 인프라 좋음
- 고속터미널, 강남성모병원, 신세계백화점 인근
- 방배동 개발호재 많음
- 정보사 부지 실리콘밸리로 인한 3만여명 일자리 창출
- 이수,내방역 서리풀터널 지구단위계획구역 지정
- 방배동 혁신 개발 매머드급 재건축 단지 호재
- 버스노선 다양하며 병원,은행,마트 등 편의시설 인프라 좋음
- 서리풀터널 개통으로 강남진입이 용이

◆ ◆담당자 직통 010-8998-6424◆ ◆
◆ ◆담당자 직통 010-8998-6424◆ ◆
◆ ◆담당자 직통 010-8998-6424◆ ◆

- 저희 매경부동산중개법인은 100% 실매물만
    올려드리고 있습니다(물건최다보유)
- 24시간 언제나 친절한 상담 해드립니다.
- 원하시는 물건 찾을 때까지 1:1 전담 서비스
- 고급빌라.고급주택.아파트 다세대건물. 상가주택  빌딩 전문중개
- 계약서/등기사항 꼼꼼히 설명 드립니다
- 본 물건 외 다양한 매물 준비 되어 있습니다

▶▶▶ 부동산 오시는길 ◀◀◀

- 방배동 NO.1 매경부동산중개법인
- 서울시 서초구 방배동 876-24(1층)
- 내방역 8번 출구에서 도보 1분(주차 가능)

- 엄선된 매물, 확실한 권리분석으로 신뢰감있는
  매경부동산의 모습을 보여드리겠습니다
  감사합니다  

◆ ◆담당자 직통 010-8998-6424◆ ◆
◆ ◆담당자 직통 010-8998-6424◆ ◆ 
 "
212032323,69,13,37.49074728,126.98442384,2504356007,"2억 5,000",6만원,"◆◇◆◇◆ 아이엠 공인중개사사무소 ◆◇◆◇◆
 

♣ 매물특징 ♣

 - 함지박사거리 인근 내방역 도보 9분거리에 위치
 - 2002년 준공으로 깔끔하게 관리된 매물
 - 방2 / 욕실1 / 거실 겸 주방
 - 1억에 75 / 1.5억에 50에도 가능
 - 엘레베이터 無
 - 관리비 6만원 (주차비,공용전기요금,공용청소비 포함-전기,수도,가스 별도)
 - 주차 가능
 - 입주협의

♣ 중개사 메모 ♣

 - 원하시는 가격대,위치 알려주시면 최선을 다해 연결해드리겠습니다.
 - 여성 중개사의 세심함과 꼼꼼함으로 계약부터 입주까지 신경쓰겠습니다.
 - 주저말고 편하게 연락주세요~^^*
 
   ☎  02-6242-0303
   ☎  010-9272-4494"
212032323,69,13,37.49074728,126.98442384,2504338094,"2억 6,000",0원,"◆◇◆◇◆ 아이엠 공인중개사사무소 ◆◇◆◇◆
 

♣ 매물특징 ♣

 - 내방역 도보 5분거리에 위치
 - 방3 / 욕실1 / 주방
 - 내부 깨끗
 - 대출 가능(보증보험가입 원할경우 2억1천-25로 전환가능 / 반전세 가능)
 - 관리비 無
 - 빠른입주 환영

♣ 중개사 메모 ♣

 - 원하시는 가격대,위치 알려주시면 최선을 다해 연결해드리겠습니다.
 - 여성 중개사의 세심함과 꼼꼼함으로 계약부터 입주까지 신경쓰겠습니다.
 - 주저말고 편하게 연락주세요~^^*
 
   ☎  02-6242-0303
   ☎  010-9272-4494"
212032323,69,13,37.49074728,126.98442384,2504047953,3억,5만원,
212032323,69,13,37.49074728,126.98442384,2504059753,"2억 7,000",5만원,"◈◈ 매물 상세정보 ◈◈

【 교   통 】 4호선 이수역
【 층   수 】 1층
【 승강기 】 1대
【 주   차 】 1대
【 관리비 】 5만원
【 입   주 】 협의입주
【 대   출 】 불가능
【 보   험 】 불가능

▶▶ 부동산 오시는길 ◀◀

【 내방역 8번출구 도보 1분 매경부동산중개법인】
【 서울시 서초구 방배동 876-24 1층 주차가능 】

◆ ◆담당자 직통 010-8998-6424 ◆ ◆
◆ ◆담당자 직통 010-8998-6424 ◆ ◆

◇ 24시간 언제나 친절한 상담 해드립니다.
◇ 원하시는 물건 찾을 때까지 1:1 전담 서비스
◇ 방배동.사당동,반포동,서초동 내 부동산전문
◇ 계약서/등기사항 꼼꼼히 설명 드립니다
◇ 본 물건 외 다양한 매물 준비 되어 있습니다
==================================
※ 엄선된 매물,확실한 권리분석으로 신뢰감있는
   매경부동산의 모습을 보여드리겠습니다~

◆ ◆담당자 직통 010-8998-6424 ◆ ◆
◆ ◆담당자 직통 010-8998-6424 ◆ ◆"
