lgeo,count,z,lat,lon,atcl_no,atcl_price,atcl_cost,atcl_description,atcl_location
212032303,3,13,37.46484376,126.98608399,2507267580,"2억 1,500",5만원,"◈◈ 매물 상세정보 ◈◈

【 교   통 】 4호선 남태령역
【 층   수 】 지층
【 승강기 】 없음
【 주   차 】 1대 무료
【 관리비 】  5만원
【 입   주 】 협의입주
【 대   출 】 가능
【 보   험 】 가능

▶▶ 부동산 오시는길 ◀◀

【 내방역 8번출구 도보 1분 매경부동산중개법인】
【 서울시 서초구 방배동 876-24 1층 주차가능 】

◆ ◆담당자 직통 010-8998-6424 ◆ ◆
◆ ◆담당자 직통 010-8998-6424 ◆ ◆

◇ 24시간 언제나 친절한 상담 해드립니다.
◇ 원하시는 물건 찾을 때까지 1:1 전담 서비스
◇ 방배동.사당동,반포동,서초동 내 부동산전문
◇ 계약서/등기사항 꼼꼼히 설명 드립니다
◇ 본 물건 외 다양한 매물 준비 되어 있습니다
==================================
※ 엄선된 매물,확실한 권리분석으로 신뢰감있는
   매경부동산의 모습을 보여드리겠습니다~

◆ ◆담당자 직통 010-8998-6424 ◆ ◆
◆ ◆담당자 직통 010-8998-6424 ◆ ◆",https://m.land.naver.com/near/article/2507267580
212032303,3,13,37.46484376,126.98608399,2506139009,"2억 6,000",,"단독주택 지층, 방2, 화2
넓은 공간, 짐 많으신분 추천
반려동물 불가
*대출불가 (사유:건축물용도-창고)
-------------------------------
&lt;중개대상물의 표시 · 광고 명시사항 관련정보&gt;
개설등록번호 :11650201800055
입주가능일 :즉시입주
방향기준 :거실
방수 : 2개 욕실수 : 2개
건축물용도 :단독주택
사용승인일 :19870730",https://m.land.naver.com/near/article/2506139009
212032303,3,13,37.46484376,126.98608399,2505395436,"2억 4,000",3만원,"남태령부동산은 동네(전원마을 내에 있는) 중개업소입니다.

방2개, 화장실1개,
실제 1층 높이임.
남태령역 1번출구에서 도보 2분정도,
버스는 중앙차로이므로 막힘이 없음.

뒷산은 쾌적한 산책로와 운동공간을 제공합니다.
&lt;중개대상물의 표시 · 광고 명시사항 관련정보&gt;
개설등록번호 :9251-8897
입주가능일 :20250328
방향기준 :안방
방수 : 2개 욕실수 : 1개
건축물용도 :단독주택
매물상세지번 :2908-6
사용승인일 :20181113",https://m.land.naver.com/near/article/2505395436
212032323,55,13,37.49066589,126.98442384,2508502089,"1억 2,000",17만원,"? 가온부동산은 100% 실제매물만을 광고합니다.
 
==============================================

? 매물소개
   
? 여성전용 풀옵션 원룸 
? 보증금일부하향조정하여 월세가능
? 관리비에 모든 공과금등이 포함됨
? 대출은 가능하나 질권설정등이 들어가는 안심대출등X
? 입주협의(2월5일이후~),주차가능(별도5만)
? 지하철역 도보가능,서리풀터널 및 대로인접하여 사통팔달
? 방배초교/서문여중고등/공원 및 편의시설 접근성 우수

==============================================

? 정직함과 성실함으로 중개에 최선을 다하는 가온부동산입니다.

? 부동산전자계약가능 중개사무소
? 방문고객님 필요시 인근 픽업서비스가능
? TEL 02-594-0610  
? H·P 010-2796-9449
? https://open.kakao.com/o/sDbY9RIe
? https://blog.naver.com/hyuntai78

==============================================",https://m.land.naver.com/near/article/2508502089
212032323,55,13,37.49066589,126.98442384,2508804366,"2억 6,000",12만원,"〓★〓 이수래미안(단지내)로이파크 공인중개사사무소 〓★〓 

안녕하세요~^^
이수래미안(단지내)로이파크 공인중개사 대표 이수빈입니다. 
☎ 010 - 5354 - 4458

〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓

아파트＊주택＊ 상가＊ 사무실 ＊빌딩물건
저에게 맡겨 주시면 성심성의를 다해신속하게 처리하겠습니다. 
☎ 010 - 5354 - 4458 

〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓",https://m.land.naver.com/near/article/2508804366
212032323,55,13,37.49066589,126.98442384,2508845162,"2억 9,000",7만원,"◐ 굿모닝부동산 010-2898-5650  ◑
◐ 굿모닝부동산 010-2898-5650 ◑

◈ 허그 버팀목등 전세대출 및 보증보험 가능
◈ 내부 깔끔하며 방 사이즈 큼
◈ 조용한 주택가에 위치
◈ 서리풀터널 개통으로 서초역 강남역 진출 용이

★ 실매물이며, 문의 주시면 내 가족처럼 친절한 상담 및 현장 안내 도와드리겠습니다.
★ 투자상담/친절상담/책임중개를 통해 진솔함과 정직함으로 고객님과 소중한 인연을 만들겠습니다.

▶굿모닝공인중개사사무소◀
  ☎ 대표전화02-534-4321  //  010-2898-5650",https://m.land.naver.com/near/article/2508845162
212032323,55,13,37.49066589,126.98442384,2508603372,3억,5만원," ◆ ◆매물 상세설명 ◆◆

▣ 교   통 :  4호선 이수역
▣ 층   수 :  2층
▣ 승강기 :  무
▣ 주   차 :  불가능
▣ 관리비 :  5만원
▣ 입   주 : 즉시 또는 협의
▣  기  타 : 전세자금대출가능

- 이수역 역세권으로 인프라 좋음
- 고속터미널, 강남성모병원, 신세계백화점 인근
- 방배동 개발호재 많음
- 정보사 부지 실리콘밸리로 인한 3만여명 일자리 창출
- 이수,내방역 서리풀터널 지구단위계획구역 지정
- 방배동 혁신 개발 매머드급 재건축 단지 호재
- 버스노선 다양하며 병원,은행,마트 등 편의시설 인프라 좋음
- 서리풀터널 개통으로 강남진입이 용이

◆ ◆담당자 직통 010-8998-6424◆ ◆
◆ ◆담당자 직통 010-8998-6424◆ ◆
◆ ◆담당자 직통 010-8998-6424◆ ◆

- 저희 매경부동산중개법인은 10% 실매물만
    올려드리고 있습니다(물건최다보유)
- 24시간 언제나 친절한 상담 해드립니다.
- 원하시는 물건 찾을 때까지 1:1 전담 서비스
- 고급빌라.고급주택.아파트 다세대건물. 상가주택  빌딩 전문중개
- 계약서/등기사항 꼼꼼히 설명 드립니다
- 본 물건 외 다양한 매물 준비 되어 있습니다

▶▶▶ 부동산 오시는길 ◀◀◀

- 방배동 NO.1 매경부동산중개법인
- 서울시 서초구 방배동 876-24(1층)
- 내방역 8번 출구에서 도보 1분(주차 가능)

- 엄선된 매물, 확실한 권리분석으로 신뢰감있는
  매경부동산의 모습을 보여드리겠습니다
  감사합니다  

◆ ◆담당자 직통 010-8998-6424◆ ◆
◆ ◆담당자 직통 010-8998-6424◆ ◆ 
 ",https://m.land.naver.com/near/article/2508603372
212032323,55,13,37.49066589,126.98442384,2508655770,"2억 3,500",5만원,"* 이수역세권 서문여고 인근 밝고 안방넓은 2룸 욕실1개  세탁실
조용한 주택가에 위치한 주택
* 금액 : 보증금2억3500만원
* 입주일 : 25년3월초~4월초 협의가능
* 주  차 :  가능
* 애완동물 안됨
* 건축년도: 2001년
* 승강기 : 없음
* 학군 : 방배초등, 서문여중고, 동덕여고, 방배중등 명문학군
* 교통 : 4,7호선 이수역 도보5분/ 버스정류장 도보4분
* 인근편의시설 : 재래시장. 한강공원, 서울성모병원, 강남신세계백화점, 
은행, 미용실, 맛집, 편의점등이 인근에 있어 생활편리

 정확한 매물관리와 정보로 고객님의 소중한 시간을 절약하여 편하게 
  더좋은 집을 구해드리기 최선을 다하여 중개합니다.

  언제든지 연락주시면 성실하게 상담해드리겠습니다.
  ---------------------------------------
  ◆ 태인공인중개사사무소 ◆
  서울시 서초구 방배동 2106 1층
  02-592-4989/ 010-3847-7583",https://m.land.naver.com/near/article/2508655770
212032323,55,13,37.49066589,126.98442384,2508004403,"2억 9,000","7만 5,000원","▣ 1룸+1거실+1욕실
▣ 9호선 구반포역 역세권
▣ 시스템에어컨.냉장고.밀레세탁기+밀레건조기.붙박이장 
▣ 수도, 전기, 가스비는 사용량에 따라 부과됨
▣ 중개의뢰인이 관리비 세부내역을 미제시로 비목별 금액 미표시


◎ 참좋은부동산 담당자 010-6297-3017 ◎
▷ 매물 번호를 알려주시면 쉽게 매물을 찾을 수 있습니다.
▷ 고객님의 금액, 입지, 사이즈, 날짜를 고려하여 맞춤중개
▷ 언제든지 전화주시면 성심껏 상담해 드리겠습니다.
▷ 모든 고객님께 신뢰와 믿음을 드리는 참좋은부동산입니다",https://m.land.naver.com/near/article/2508004403
212032323,55,13,37.49066589,126.98442384,2507854770,"2억 9,000",7만원,"▣ 7호선 내방역 5분거리, 4호선 이수역 8분거리
▣ 2013년 1월 준공
▣ 2룸 + 거실겸 주방(일자형 주방) +1욕실
▣ 대출 및 보증보험 가능
▣ 옵션 : 에어컨 2대, 세탁기,  가스레인지 옵션
▣ 이수역 이용시 광화문 과천 이용 편리
▣ 서리풀터널 이용하여 강남권 진입 수월
▣ 관리비 7만원(정액관리비, 직전월 기준, 인터넷 포함)
▣ 관리비 세부내역은 중개의뢰인이 미제시로 비목별 금액 미표시
▣ 전기, 수도, 가스사용료는 세대별 사용량에 따라 부과

========================================
■ 대신공인중개사사무소는 믿음있게 중개합니다.
■ 대신공인중개사사무소는 신뢰있게 중개합니다.
■ 언제나 전화주세요.
■ 조건에 맞는 매물을 최선을 다해 찾아드립니다.
■ 대신공인중개사사무소 :  02 534 8337  /  010 5078 1349
============================================",https://m.land.naver.com/near/article/2507854770
